LSOA name,Anti-social behaviour,Bicycle theft,Burglary,Criminal damage and arson,Drugs,Other crime,Other theft,Possession of weapons,Public order,Robbery,Shoplifting,Theft from the person,Vehicle crime,Violence and sexual offences
Bedford 007E,34.0,3.0,16.0,31.0,13.0,13.0,14.0,4.0,23.0,10.0,498.0,1.0,15.0,135.0
Bedford 010F,101.0,19.0,36.0,87.0,41.0,176.0,44.0,10.0,96.0,14.0,12.0,10.0,35.0,593.0
Bedford 012A,171.0,76.0,100.0,101.0,110.0,29.0,137.0,27.0,196.0,52.0,269.0,40.0,59.0,669.0
Bedford 012F,142.0,44.0,74.0,77.0,71.0,47.0,106.0,24.0,119.0,28.0,134.0,28.0,63.0,492.0
Bedford 012H,159.0,58.0,84.0,124.0,111.0,9.0,110.0,27.0,191.0,26.0,124.0,33.0,49.0,770.0
Bedford 015G,121.0,35.0,47.0,86.0,58.0,32.0,98.0,20.0,133.0,19.0,173.0,16.0,69.0,439.0
Bedford 018B,52.0,1.0,17.0,67.0,90.0,22.0,43.0,11.0,139.0,4.0,324.0,4.0,22.0,373.0
Central Bedfordshire 004C,48.0,0.0,9.0,59.0,14.0,6.0,20.0,1.0,28.0,1.0,0.0,1.0,34.0,401.0
Central Bedfordshire 011A,50.0,2.0,13.0,33.0,8.0,5.0,44.0,3.0,34.0,2.0,358.0,1.0,23.0,101.0
Central Bedfordshire 026A,136.0,3.0,31.0,54.0,24.0,18.0,65.0,8.0,56.0,9.0,191.0,4.0,60.0,368.0
Luton 013A,33.0,4.0,12.0,40.0,12.0,11.0,55.0,5.0,65.0,4.0,2.0,4.0,35.0,345.0
Luton 014G,68.0,1.0,6.0,44.0,18.0,19.0,186.0,72.0,64.0,6.0,570.0,21.0,60.0,185.0
Luton 017B,72.0,16.0,33.0,46.0,44.0,11.0,43.0,10.0,94.0,20.0,847.0,12.0,53.0,277.0
Luton 021B,60.0,4.0,30.0,26.0,11.0,11.0,37.0,5.0,44.0,12.0,432.0,6.0,101.0,138.0
Luton 021G,112.0,8.0,47.0,83.0,131.0,30.0,133.0,37.0,145.0,49.0,122.0,55.0,127.0,559.0
Luton 023A,233.0,39.0,91.0,160.0,159.0,39.0,186.0,53.0,269.0,73.0,126.0,88.0,106.0,858.0
Luton 023B,103.0,6.0,21.0,79.0,144.0,25.0,28.0,16.0,172.0,14.0,0.0,7.0,42.0,364.0
Luton 023C,97.0,19.0,59.0,74.0,88.0,18.0,166.0,25.0,178.0,35.0,804.0,141.0,55.0,609.0
Luton 023D,119.0,21.0,59.0,75.0,61.0,20.0,83.0,8.0,79.0,17.0,88.0,11.0,144.0,357.0
Unknown LSOA name,15.0,51.0,269.0,254.0,103.0,104.0,428.0,44.0,359.0,76.0,1311.0,56.0,339.0,1753.0
