Year,Month_number,LSOA name,Crime count
2023,12,Unknown LSOA name,180
2023,12,Luton 023C,99
2023,12,Luton 023A,95
2023,12,Bedford 012A,90
2023,12,Luton 021G,76
2023,12,Bedford 012H,74
2023,12,Luton 014D,62
2023,12,Bedford 012F,60
2023,12,Bedford 015G,56
2023,12,Central Bedfordshire 021A,54
2023,12,Luton 023D,45
2023,12,Luton 017B,44
2023,12,Luton 023B,44
2023,12,Bedford 010F,41
2023,12,Central Bedfordshire 002B,36
2023,12,Luton 021B,33
2023,12,Central Bedfordshire 029C,32
2023,12,Bedford 014E,30
2023,12,Central Bedfordshire 025E,29
2023,12,Central Bedfordshire 003C,28
2023,12,Central Bedfordshire 005C,28
2023,12,Luton 014G,27
2023,12,Bedford 015C,25
2023,12,Luton 021A,25
2023,12,Luton 021F,25
2023,12,Luton 022C,25
2023,12,Bedford 015D,24
2023,12,Bedford 018B,24
2023,12,Central Bedfordshire 026C,24
2023,12,Central Bedfordshire 026D,24
2023,12,Central Bedfordshire 029G,24
2023,12,Luton 019C,24
2023,12,Bedford 007C,23
2023,12,Central Bedfordshire 004C,23
2023,12,Luton 002C,22
2023,12,Bedford 014C,21
2023,12,Central Bedfordshire 026A,21
2023,12,Luton 004D,21
2023,12,Luton 022A,21
2023,12,Central Bedfordshire 016C,20
2023,12,Luton 013A,20
2023,12,Central Bedfordshire 004D,19
2023,12,Luton 017D,19
2023,12,Luton 022E,19
2023,12,Bedford 010C,18
2023,12,Bedford 017D,18
2023,12,Bedford 018A,18
2023,12,Luton 006B,18
2023,12,Luton 015C,18
2023,12,Luton 020E,18
2023,12,Luton 022D,18
2023,12,Bedford 007A,17
2023,12,Central Bedfordshire 010A,17
2023,12,Luton 013D,17
2023,12,Luton 017E,17
2023,12,Luton 019D,17
2023,12,Luton 020D,17
2023,12,Luton 021H,17
2023,12,Bedford 005A,16
2023,12,Bedford 014F,16
2023,12,Bedford 020B,16
2023,12,Central Bedfordshire 018D,16
2023,12,Central Bedfordshire 021C,16
2023,12,Central Bedfordshire 027C,16
2023,12,Central Bedfordshire 028G,16
2023,12,Luton 015D,16
2023,12,Bedford 011D,15
2023,12,Bedford 014B,15
2023,12,Central Bedfordshire 011A,15
2023,12,Central Bedfordshire 011D,15
2023,12,Central Bedfordshire 026B,15
2023,12,Central Bedfordshire 033B,15
2023,12,Luton 003B,15
2023,12,Luton 005A,15
2023,12,Luton 006G,15
2023,12,Luton 020A,15
2023,12,Luton 021D,15
2023,12,Bedford 007E,14
2023,12,Bedford 015A,14
2023,12,Bedford 018G,14
2023,12,Central Bedfordshire 002D,14
2023,12,Central Bedfordshire 004A,14
2023,12,Central Bedfordshire 014D,14
2023,12,Central Bedfordshire 030C,14
2023,12,Luton 011C,14
2023,12,Luton 013B,14
2023,12,Bedford 009C,13
2023,12,Bedford 010A,13
2023,12,Bedford 010E,13
2023,12,Bedford 016A,13
2023,12,Bedford 018E,13
2023,12,Central Bedfordshire 010F,13
2023,12,Central Bedfordshire 011C,13
2023,12,Central Bedfordshire 019C,13
2023,12,Central Bedfordshire 020C,13
2023,12,Central Bedfordshire 022A,13
2023,12,Luton 003F,13
2023,12,Luton 005E,13
2023,12,Luton 009C,13
2023,12,Luton 015B,13
2023,12,Luton 016A,13
2023,12,Luton 016B,13
2023,12,Luton 017A,13
2023,12,Bedford 003A,12
2023,12,Bedford 010B,12
2023,12,Bedford 015H,12
2023,12,Bedford 018H,12
2023,12,Bedford 020D,12
2023,12,Bedford 022C,12
2023,12,Central Bedfordshire 009C,12
2023,12,Central Bedfordshire 021E,12
2023,12,Central Bedfordshire 025B,12
2023,12,Central Bedfordshire 029B,12
2023,12,Luton 005F,12
2023,12,Luton 006D,12
2023,12,Luton 011A,12
2023,12,Luton 012F,12
2023,12,Luton 013C,12
2023,12,Luton 019B,12
2023,12,Bedford 021A,11
2023,12,Bedford 021B,11
2023,12,Central Bedfordshire 005B,11
2023,12,Central Bedfordshire 005F,11
2023,12,Central Bedfordshire 006A,11
2023,12,Central Bedfordshire 019A,11
2023,12,Central Bedfordshire 019F,11
2023,12,Central Bedfordshire 032C,11
2023,12,Luton 001A,11
2023,12,Luton 004A,11
2023,12,Luton 010A,11
2023,12,Luton 015A,11
2023,12,Luton 022B,11
2023,12,Bedford 008F,10
2023,12,Bedford 017A,10
2023,12,Central Bedfordshire 001A,10
2023,12,Central Bedfordshire 006J,10
2023,12,Central Bedfordshire 012E,10
2023,12,Central Bedfordshire 019G,10
2023,12,Central Bedfordshire 025C,10
2023,12,Central Bedfordshire 025D,10
2023,12,Central Bedfordshire 026E,10
2023,12,Central Bedfordshire 027B,10
2023,12,Central Bedfordshire 028A,10
2023,12,Central Bedfordshire 028C,10
2023,12,Luton 009F,10
2023,12,Luton 010E,10
2023,12,Luton 010F,10
2023,12,Luton 012D,10
2023,12,Bedford 002C,9
2023,12,Bedford 012G,9
2023,12,Bedford 016D,9
2023,12,Bedford 020E,9
2023,12,Central Bedfordshire 004B,9
2023,12,Central Bedfordshire 008E,9
2023,12,Central Bedfordshire 014E,9
2023,12,Central Bedfordshire 028D,9
2023,12,Luton 009E,9
2023,12,Luton 011F,9
2023,12,Luton 017F,9
2023,12,Bedford 008G,8
2023,12,Bedford 008I,8
2023,12,Bedford 009A,8
2023,12,Bedford 013B,8
2023,12,Bedford 022A,8
2023,12,Central Bedfordshire 002C,8
2023,12,Central Bedfordshire 006G,8
2023,12,Central Bedfordshire 009F,8
2023,12,Central Bedfordshire 012D,8
2023,12,Central Bedfordshire 013D,8
2023,12,Central Bedfordshire 015A,8
2023,12,Central Bedfordshire 018B,8
2023,12,Central Bedfordshire 024H,8
2023,12,Central Bedfordshire 027A,8
2023,12,Central Bedfordshire 029A,8
2023,12,Central Bedfordshire 031A,8
2023,12,Central Bedfordshire 031B,8
2023,12,Central Bedfordshire 032E,8
2023,12,Luton 002B,8
2023,12,Luton 003C,8
2023,12,Luton 003E,8
2023,12,Luton 010B,8
2023,12,Luton 011D,8
2023,12,Luton 012C,8
2023,12,Bedford 004B,7
2023,12,Bedford 006F,7
2023,12,Bedford 007F,7
2023,12,Bedford 009B,7
2023,12,Bedford 013A,7
2023,12,Bedford 015F,7
2023,12,Bedford 017C,7
2023,12,Bedford 018F,7
2023,12,Bedford 020F,7
2023,12,Bedford 022D,7
2023,12,Central Bedfordshire 006E,7
2023,12,Central Bedfordshire 007H,7
2023,12,Central Bedfordshire 009G,7
2023,12,Central Bedfordshire 010B,7
2023,12,Central Bedfordshire 010C,7
2023,12,Central Bedfordshire 013A,7
2023,12,Central Bedfordshire 015D,7
2023,12,Central Bedfordshire 031D,7
2023,12,Central Bedfordshire 032B,7
2023,12,Luton 001E,7
2023,12,Luton 001F,7
2023,12,Luton 004B,7
2023,12,Luton 005D,7
2023,12,Luton 006A,7
2023,12,Luton 007E,7
2023,12,Luton 008B,7
2023,12,Luton 008F,7
2023,12,Luton 016D,7
2023,12,Luton 016E,7
2023,12,Luton 019A,7
2023,12,Luton 020C,7
2023,12,Luton 021E,7
2023,12,Bedford 001D,6
2023,12,Bedford 002D,6
2023,12,Bedford 004H,6
2023,12,Bedford 005C,6
2023,12,Bedford 006A,6
2023,12,Bedford 007B,6
2023,12,Bedford 013C,6
2023,12,Bedford 013E,6
2023,12,Bedford 014A,6
2023,12,Bedford 018C,6
2023,12,Bedford 021C,6
2023,12,Bedford 021D,6
2023,12,Central Bedfordshire 003E,6
2023,12,Central Bedfordshire 009H,6
2023,12,Central Bedfordshire 011F,6
2023,12,Central Bedfordshire 012C,6
2023,12,Central Bedfordshire 014B,6
2023,12,Central Bedfordshire 016D,6
2023,12,Central Bedfordshire 020D,6
2023,12,Central Bedfordshire 029F,6
2023,12,Central Bedfordshire 033D,6
2023,12,Luton 002D,6
2023,12,Luton 003A,6
2023,12,Luton 006C,6
2023,12,Luton 008D,6
2023,12,Luton 009B,6
2023,12,Luton 011E,6
2023,12,Luton 015E,6
2023,12,Luton 016G,6
