LSOA name,Crime count
Unknown LSOA name,5162
Luton 023A,2480
Luton 023C,2368
Bedford 012A,2036
Bedford 012H,1875
Luton 021G,1638
Luton 017B,1578
Bedford 012F,1449
Central Bedfordshire 021A,1347
Bedford 015G,1346
Luton 014G,1320
Bedford 010F,1274
Bedford 018B,1169
Luton 023D,1142
Central Bedfordshire 026A,1027
Luton 023B,1021
Bedford 014E,1006
Luton 021B,917
Central Bedfordshire 029C,874
Bedford 007E,810
Central Bedfordshire 005C,764
Luton 014D,753
Luton 019C,720
Central Bedfordshire 027C,693
Central Bedfordshire 011A,677
Bedford 015D,656
Central Bedfordshire 029G,639
Luton 013A,627
Central Bedfordshire 004C,622
Luton 022D,603
Luton 020A,597
Bedford 014B,586
Central Bedfordshire 021C,574
Luton 020E,569
Luton 021H,568
Luton 002C,568
Luton 021F,568
Luton 021A,564
Bedford 015C,554
Luton 022A,548
Luton 015D,547
Central Bedfordshire 025E,543
Luton 006B,534
Central Bedfordshire 019C,533
Luton 003B,532
Bedford 010E,532
Luton 020D,530
Luton 015C,529
Luton 019B,528
Luton 022E,510
Bedford 010C,507
Luton 016A,502
Luton 012F,492
Luton 022C,478
Central Bedfordshire 026B,477
Bedford 013B,476
Bedford 007C,462
Central Bedfordshire 026D,457
Luton 015B,456
Luton 005A,452
Luton 017D,449
Luton 004D,447
Bedford 022C,445
Central Bedfordshire 002B,429
Bedford 015H,425
Luton 019D,423
Bedford 007A,419
Central Bedfordshire 033B,418
Bedford 013D,408
Central Bedfordshire 021E,400
Bedford 017A,394
Central Bedfordshire 027B,378
Luton 006G,377
Central Bedfordshire 011D,374
Central Bedfordshire 030C,372
Luton 017E,370
Bedford 016D,363
Luton 009F,356
Luton 017A,350
Central Bedfordshire 016C,348
Bedford 014A,348
Central Bedfordshire 001A,347
Bedford 014F,346
Central Bedfordshire 019A,345
Bedford 011D,342
Bedford 022B,342
Central Bedfordshire 019G,341
Luton 022B,340
Central Bedfordshire 029B,338
Central Bedfordshire 004D,336
Luton 017F,336
Central Bedfordshire 002D,334
Central Bedfordshire 025B,333
Bedford 005A,332
Central Bedfordshire 026C,332
Central Bedfordshire 018D,331
Bedford 020B,329
Bedford 015A,328
Bedford 022D,327
Central Bedfordshire 028C,321
Bedford 021B,320
Luton 003F,319
Central Bedfordshire 014D,316
Bedford 014C,314
Luton 008F,313
Central Bedfordshire 009C,313
Bedford 018A,308
Central Bedfordshire 005F,307
Bedford 009C,306
Bedford 003A,306
Central Bedfordshire 029F,305
Luton 011A,304
Central Bedfordshire 003C,303
Central Bedfordshire 028G,300
Central Bedfordshire 006G,300
Bedford 010A,297
Luton 012C,296
Luton 011D,293
Luton 009E,292
Central Bedfordshire 025D,286
Central Bedfordshire 026E,285
Bedford 002C,284
Bedford 012G,281
Luton 004A,280
Central Bedfordshire 024H,278
Bedford 018E,275
Central Bedfordshire 006A,273
Central Bedfordshire 029A,273
Central Bedfordshire 010C,272
Central Bedfordshire 014B,271
Luton 013C,271
Luton 010C,271
Luton 011C,270
Bedford 015F,270
Bedford 009A,269
Bedford 021A,268
Luton 010A,266
Luton 017C,266
Luton 020B,265
Luton 003C,265
Luton 005F,265
Bedford 013A,264
Bedford 013E,264
Central Bedfordshire 031A,262
Bedford 005E,262
Luton 012D,261
Central Bedfordshire 029D,260
Luton 005B,259
Luton 019A,256
Luton 021E,256
Bedford 011A,256
Central Bedfordshire 032C,255
Bedford 021C,254
Bedford 004D,254
Bedford 021D,254
Bedford 017D,253
Central Bedfordshire 019E,253
Luton 005E,251
Central Bedfordshire 013D,250
Luton 020C,247
Bedford 018H,246
Central Bedfordshire 025C,245
Bedford 014D,244
Luton 010B,244
Bedford 018C,240
Luton 016B,239
Bedford 008F,237
Central Bedfordshire 020C,236
Luton 015A,236
Luton 012A,235
Luton 011F,235
Luton 009D,233
Luton 014A,233
Luton 010F,232
Luton 010D,232
Central Bedfordshire 022A,232
Luton 006C,231
Central Bedfordshire 011C,231
Bedford 008B,229
Bedford 007F,229
Luton 010E,227
Central Bedfordshire 014E,226
Bedford 022A,226
Central Bedfordshire 022C,225
Luton 011B,224
Central Bedfordshire 010A,223
Luton 021D,223
Luton 006F,222
Bedford 013C,222
Central Bedfordshire 012C,221
Central Bedfordshire 013C,219
Central Bedfordshire 025A,218
Luton 013B,216
Central Bedfordshire 007H,216
Luton 002A,215
Bedford 005C,214
Bedford 017B,213
Luton 007A,210
Bedford 010B,209
Luton 016E,208
Bedford 002D,207
Bedford 018F,205
Central Bedfordshire 031B,205
Bedford 008G,204
Luton 007B,204
Bedford 001D,204
Luton 006D,202
Central Bedfordshire 010B,201
Bedford 004B,200
Bedford 004H,197
Central Bedfordshire 015A,197
Central Bedfordshire 010D,196
Luton 009B,196
Central Bedfordshire 010E,194
Luton 009A,194
Central Bedfordshire 028B,192
Central Bedfordshire 028D,192
Central Bedfordshire 030A,192
Luton 006A,192
Luton 003E,190
Central Bedfordshire 020D,190
Central Bedfordshire 005B,189
Bedford 016A,189
Bedford 004F,189
Central Bedfordshire 027A,188
Central Bedfordshire 016D,188
Luton 013D,187
Central Bedfordshire 003E,187
Central Bedfordshire 015B,187
Bedford 012C,186
Luton 001A,185
Central Bedfordshire 010F,184
Central Bedfordshire 001B,183
Luton 004B,183
Luton 005D,182
Central Bedfordshire 031D,181
Central Bedfordshire 008G,181
Bedford 020D,179
Bedford 020F,178
Luton 015E,177
Central Bedfordshire 024E,176
Luton 014B,176
Luton 012E,176
Luton 012B,175
Central Bedfordshire 024L,175
Central Bedfordshire 033A,174
Bedford 007D,174
Central Bedfordshire 012E,173
Central Bedfordshire 013B,173
Central Bedfordshire 032E,172
Central Bedfordshire 033C,171
Bedford 006C,170
Bedford 007B,169
Luton 016G,169
Central Bedfordshire 009G,168
Central Bedfordshire 008F,168
Central Bedfordshire 003B,167
Central Bedfordshire 011B,167
Central Bedfordshire 013A,165
Central Bedfordshire 024F,164
Central Bedfordshire 008D,163
Bedford 016B,163
Central Bedfordshire 002A,163
Bedford 020E,162
Central Bedfordshire 004A,161
Bedford 003C,161
Bedford 018G,160
Central Bedfordshire 001C,160
Bedford 004E,159
Central Bedfordshire 008E,159
Bedford 008I,158
Central Bedfordshire 012D,158
Central Bedfordshire 004B,157
Central Bedfordshire 017F,157
Luton 011E,156
Central Bedfordshire 014F,156
Luton 016D,156
Central Bedfordshire 011E,156
Luton 003A,155
Bedford 016C,154
Luton 008A,154
Bedford 006A,153
Luton 003D,153
Central Bedfordshire 024I,152
Central Bedfordshire 006H,151
Bedford 005B,151
Bedford 017C,151
Bedford 004C,150
Central Bedfordshire 024M,150
Central Bedfordshire 007F,149
Bedford 003B,148
Central Bedfordshire 021B,146
Bedford 008H,146
Central Bedfordshire 003D,146
Luton 001E,146
Central Bedfordshire 018A,146
Luton 009C,146
Luton 013E,145
Central Bedfordshire 019F,145
Luton 008D,144
Central Bedfordshire 033D,144
Central Bedfordshire 009D,144
Luton 020F,143
Central Bedfordshire 011F,141
Central Bedfordshire 017E,140
Central Bedfordshire 008C,139
Central Bedfordshire 028A,138
